attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
safety,1488860398000,positive,he could be safe on the outside deck.,0.9,Seems pretty good. I got this for a tiny dog ...,Seems pretty good.<br />I got this for a tiny dog so he could be safe on the outside deck. I bought the largest cage so he can move around.,4.0
safety,1593181963164,positive,A,1.0,Sturdy,A good sturdy crate,5.0
moveability,1488860398000,positive,he can move around.,1.0,Seems pretty good. I got this for a tiny dog ...,Seems pretty good.<br />I got this for a tiny dog so he could be safe on the outside deck. I bought the largest cage so he can move around.,4.0
moveability,1647375009727,positive,Easy to travel with.,1.0,Perfect!,"Perfect crate, love that it folds up! Easy to travel with.",5.0
moveability,1669222679741,positive,I have 2 goldendoodles which I bought 2. They were easy to move.,1.0,The best crates,I have 2 goldendoodles which I bought 2; they were easy to assemble and easy to move. My dogs fit perfectly in them.,5.0
moveability,1644323126793,positive,small enough to be on my bed.,0.9,Got this for new puppy,"Ordered this for small puppy for night time training. I have a bad back, so this is small enough to be on my bed so I don’t have to bend over to get her out.",5.0
moveability,1623615623843,negative,The 36 in crate is cumbersome to move/carry.,1.0,Works great,"The crate is great. I’m so thankful for the divider because otherwise this crate (36 inch) would be way too big for our puppy. The 36 in crate is cumbersome to move/carry. Our dog is a small dog and will never need something this big. I wish I hadn’t been talked into getting such a large crate. The divider can be a little difficult to get into position/move, but I don’t have any other complaints about the crate.",5.0
assembliness,1626117746854,positive,"All good, easy to assemble!",1.0,easy to assemble,"All good, easy to assemble!",5.0
assembliness,1446504187000,positive,SO EASY TO ASSEMBLE!,1.0,"TOP NOTCH CRATE!! A+, 5 STARS!!","LOVE THIS CRATE!! SO EASY... I MEAN EASY!!!! TO ASSEMBLE! SUPER NICE, TOTALLY WORTH THE PRICE!",5.0
assembliness,1648692483136,positive,Easy to assemble,1.0,Easy to assemble and plenty of room,Would recommend. Easy to assemble given its size and plenty of room for my large dog to fit comfortably and move around.,5.0
assembliness,1669222679741,positive,I have 2 goldendoodles which I bought 2; they were easy to assemble,1.0,The best crates,I have 2 goldendoodles which I bought 2; they were easy to assemble and easy to move. My dogs fit perfectly in them.,5.0
assembliness,1617164593374,positive,super easy assembly,1.0,Buy it!,"Great cage for my 8year old lab mix. I bought a cage large enough for a Saint Bernard! Very heavy, super easy assembly, strong packaging.",4.0
durability,1593181963164,positive,good sturdy,1.0,Sturdy,A good sturdy crate,5.0
size,1612202622152,positive,more than enough room,1.0,Good crate for med/big dogs,We keep our 8 month old German Shepard in it and he has more than enough room. Plenty of space for bed and food bowls for longer stays.,5.0
size,1617151710343,mixed,"I got the medium size for my mini pincer/pug, and it’s a little big for the car",0.9,Little big,"I got the medium size for my mini pincer/pug, and it’s a little big for the car, so it will have to stay at home. Just enough room to put his food and water and his bed.",5.0
size,1632351348054,positive,perfect size,1.0,Great crate,Perfect crate for my lab. He loves it. Good quality and perfect size,5.0
size,1613716859913,positive,Perfect size for my Chihuahua!,1.0,Perfect size for my Chihuahua!,Crate training a lil one essential !,5.0
size,1672358532462,positive,This thing is huge.,1.0,Great investment,This thing is huge. Purchased for a medium sized dog and he fits comfortably! Great investment!,5.0
size,1420077153000,positive,very large,1.0,What a steal!!,Impressed! Seems to be made of good quality material and is very large! Can't believe I got it for $40! I will be getting another!,5.0
size,1623615623843,mixed,The crate is great. I’m so thankful for the divider because otherwise this crate (36 inch) would be way too big for our puppy.,0.9,Works great,"The crate is great. I’m so thankful for the divider because otherwise this crate (36 inch) would be way too big for our puppy. The 36 in crate is cumbersome to move/carry. Our dog is a small dog and will never need something this big. I wish I hadn’t been talked into getting such a large crate. The divider can be a little difficult to get into position/move, but I don’t have any other complaints about the crate.",5.0
space,1612202622152,positive,Plenty of space for bed and food bowls for longer stays,1.0,Good crate for med/big dogs,We keep our 8 month old German Shepard in it and he has more than enough room. Plenty of space for bed and food bowls for longer stays.,5.0
space,1648692483136,positive,plenty of room for my large dog to fit comfortably and move around.,1.0,Easy to assemble and plenty of room,Would recommend. Easy to assemble given its size and plenty of room for my large dog to fit comfortably and move around.,5.0
