attribute,review_id,sentiment,evidence,confidence,review_title,review_text,review_rating
quality,1476965950000,positive,work,1.0,Five Stars,Good product good price. Had to deal with other crap keurig filters and these work.,5.0
compatibility,1561819007303,positive,Allows me to load up my own pods! Works perfectly in the machines,0.9,Nice utility,"I’m not a huge fan of Kuerig, but this makes it bearable by allowing me to load up my own pods!  Works perfectly in the machines and is easy to clean.",5.0
compatibility,1493296702000,mixed,If it tells you it is not made for the machine just move it a bit and it will work.,0.8,Great value for good quality.,These are great for using grounds and having less waste. You just have to figure out how to properly place it in the machine. If it tells you it is not made for the machine just move it a bit and it will work. These are well made and for the price excellent.,5.0
compatibility,1626973764433,positive,As advertised,1.0,As advertised,As advertised,4.0
compatibility,1562159488047,positive,These are great!,1.0,As described,These are great! Glad I have them,5.0
compatibility,1662364649336,positive,Found this model where entire bottom is raised. No more issues with guests damaging units now.,1.0,Insert any direction,Had tried different filters prior to this one.  Guests would occasionally insert them in wrong and puncture the plastic or metal base. Found this model where entire bottom is raised.  No more issues with guests damaging units now.,5.0
compatibility,1518653549215,positive,fits my two different Carrigg coffee pots,1.0,Great feel fits my two different Carrigg coffee pots,"Great feel fits my two different Carrigg coffee pots, you can also save money by buying regular canisters of coffee! Great for gifting with some awesome coffee!",5.0
compatibility,1555791251543,positive,,1.0,Love them,"I use them with paper filter, makes them very easy to clean and my favorite coffee tastes great",5.0
compatibility,1444304934000,positive,I love being able to use any kind of coffee I like,1.0,I love being able to use any kind of coffee I ...,These baskets are lifesavers. Buying K Cups is so expensive this saves you a ton of money. I love being able to use any kind of coffee I like even an espresso ground and being able to use some over and over and over again they are worth every single penny.,5.0
compatibility,1513305116945,positive,These work great in 2.0 brewers,1.0,Best for 2.0 brewers!,These work great in 2.0 brewers the old cups caused problems with grounds in the coffee.  Good pricing and fast delivery!,5.0
compatibility,1546533819498,negative,I bought these for my Hamilton Beach coffee maker. These didn't fit I couldn't close the cover.,0.95,DIDN'T  FIT,I bought these for my Hamilton Beach coffee maker.  These didn't fit I couldn't close the cover.  I also bought my Mom a single cup coffee maker and these didn't fit hers either.,1.0
compatibility,1618966993007,positive,They work great!,1.0,They work great!,"Very pleased with this product, no complaints",5.0
compatibility,1501981052560,positive,Fit my keurig perfectly!,1.0,Five Stars,Love them. Fit my kuerig perfectly! So much money saved using my own coffee rather than pods.,5.0
compatibility,1477538235000,positive,fit well,1.0,Five Stars,Works great and fit well also.,5.0
compatibility,1517527328214,positive,works great.,1.0,"Take that, K-Cups! Ha ha.","This product is great -- it appears to be built to very tight tolerances (the lid has a mini o-ring for a very tight seal), which works great. Just a suggestion -- as consumers are getting more and more concerned about leached chemicals from plastics, and seem to believe that silicone is a better alternative, it is probably time to investigate how to replace the plastics in this product with silicone.",5.0
